"","Num1","Palo1","Num2","Palo2","Pasar","Ver","Subir"
"540",13,1,8,4,0,0.85,0.15
"541",13,1,9,4,0,0,0
"542",13,1,10,4,0,0.85,0.15
"543",13,1,11,4,0,0,0
"544",13,1,12,4,0,0,0
"545",13,1,13,4,0,0,0
"546",13,1,14,4,0,0.85,0.15
"547",14,1,2,2,0,0.85,0.15
"548",14,1,3,2,0,0,0
"549",14,1,4,2,0,0,0
"550",14,1,5,2,0,0.85,0.15
"551",14,1,6,2,0,0.85,0.15
"552",14,1,7,2,0,0,0
"553",14,1,8,2,0,0,0
"554",14,1,9,2,0.0375,0.825,0.1375
"555",14,1,10,2,0,0,0
"556",14,1,11,2,0,0,0
"557",14,1,12,2,0,0.85,0.15
"558",14,1,13,2,0,0.85,0.15
"559",14,1,14,2,0,0,0
"560",14,1,2,3,0,0,0
"561",14,1,3,3,0.0375,0.825,0.1375
"562",14,1,4,3,0,0.85,0.15
"563",14,1,5,3,0,0.85,0.15
"564",14,1,6,3,0,0.85,0.15
"565",14,1,7,3,0,0.85,0.15
"566",14,1,8,3,0,0.85,0.15
"567",14,1,9,3,0.0375,0.825,0.1375
"568",14,1,10,3,0,0.85,0.15
"569",14,1,11,3,0.0375,0.825,0.1375
"570",14,1,12,3,0,0.85,0.15
"571",14,1,13,3,0,0.85,0.15
"572",14,1,14,3,0.0375,0.825,0.1375
"573",14,1,2,4,0,0.85,0.15
"574",14,1,3,4,0,0,0
"575",14,1,4,4,0,0,0
"576",14,1,5,4,0,0.85,0.15
"577",14,1,6,4,0,0.85,0.15
"578",14,1,7,4,0,0.85,0.15
"579",14,1,8,4,0,0.85,0.15
"580",14,1,9,4,0,0,0
"581",14,1,10,4,0,0.85,0.15
"582",14,1,11,4,0,0,0
"583",14,1,12,4,0,0,0
"584",14,1,13,4,0,0,0
"585",14,1,14,4,0.0375,0.825,0.1375
"586",2,2,3,2,0,0,0
"587",2,2,4,2,0,0,0
"588",2,2,5,2,0,0.85,0.15
"589",2,2,6,2,0,0.85,0.15
"590",2,2,7,2,0,0,0
"591",2,2,8,2,0,0,0
"592",2,2,9,2,0.0375,0.825,0.1375
"593",2,2,10,2,0,0,0
"594",2,2,11,2,0,0,0
"595",2,2,12,2,0,0.85,0.15
"596",2,2,13,2,0,0.85,0.15
"597",2,2,14,2,0,0,0
"598",2,2,2,3,0,0,0
"599",2,2,3,3,0.0375,0.825,0.1375
"600",2,2,4,3,0,0.85,0.15
"601",2,2,5,3,0,0.85,0.15
